group,name,convenience,accuracy,kindness,efficiency,pleasant,automatic
b,b1,70.5,59.4,63.7,54.3,66.9,62.6
b,b2,64.8,70.3,68.6,55.2,68,64.1
b,b3,67.1,79.6,78.5,62.4,79.8,62.4
b,b4,61.1,65,65.6,54.4,64.5,63.9
b,b5,63.4,66.5,67.9,65,569.7,62
b,b6,72,69.1,74.2,60,70.1,68.2
b,b7,64.2,72,71.4,56.9,72.8,57.8
f,f1,68.4,67.5,67.3,51.3,71.3,65.8
f,f2,66.1,66.5,67.3,50.7,63.4,63.3
f,f3,63.5,65.7,64.3,53.9,61.7,62.7
f,f4,69,74.3,80.5,63.6,75.7,55.9
f,f5,63.2,65.5,68.3,49.8,64.6,59.1
f,f6,64.1,64.8,67.8,59.7,65.7,61.8
