no,sex,height,weight,lower.body,50m
10010,1,184,76.4,101.6,6.17
10012,2,160.3,57.2,90.2,6.87
10015,1,179.3,74.2,99.4,6.39
10017,1,176.2,68.2,97.1,6.77
10021,2,166.4,56.6,91,6.93
10023,2,168,64.8,92.9,7.15
10044,1,177,67.5,103.6,7.68
10055,2,162.4,51.2,95,7.5
10059,1,170.9,65.8,79.5,6.7
10060,1,188.3,77.5,103.1,6.58
10064,1,174.3,64.2,102.7,6.39
10070,2,171.1,62.6,99.6,6.92
10072,1,185.3,80.8,101.2,6.38
10074,2,165.5,64.5,93.5,6.91
10079,2,172.2,81.6,97.5,7.35
10080,2,168.6,68,74,7.12
10090,1,176,81.3,95.6,6.55
10093,2,168.1,72.3,95.4,7.26
10096,2,165.9,54.1,92.6,6.96
10101,1,183,84,98.4,6.48
10103,1,163.2,63,86.7,6.84
10118,1,176.5,68.3,102.6,6
10123,2,165.3,54.7,96.5,7.48
10125,1,180.9,96,103.5,6.71
10126,1,176.5,74.4,95.1,6.73
