month,original,adjusted
1982. 01,7.355,7.985
1982. 02,7.384,7.985
1982. 03,8.099,7.985
1982. 04,8.34,8.115
1982. 05,8.492,8.253
1982. 06,8.404,8.05
1982. 07,8.311,8.189
1982. 08,8.142,8.05
1982. 09,8.507,8.383
1982. 10,8.448,8.521
1982. 11,8.779,8.651
1982. 12,9.05,8.78
1983. 01,8.492,8.854
1983. 02,7.929,8.919
1983. 03,9.043,8.919
1983. 04,9.321,9.113
1983. 05,9.699,9.381
1983. 06,9.935,9.649
1983. 07,9.761,9.649
1983. 08,9.937,9.852
1983. 09,9.815,10.046
1983. 10,10.171,9.982
1983. 11,10.359,10.25
1983. 12,10.518,10.12
1984. 01,9.885,10.379
1984. 02,9.574,10.518
1984. 03,10.919,10.712
1984. 04,11.206,11.118
1984. 05,11.547,11.118
1984. 06,11.538,11.248
1984. 07,11.244,11.248
1984. 08,11.412,11.377
1984. 09,10.664,10.98
1984. 10,11.404,11.183
1984. 11,11.377,11.183
1984. 12,11.617,11.377
1985. 01,10.519,10.85
1985. 02,9.994,11.248
1985. 03,11.402,11.118
1985. 04,11.612,11.451
1985. 05,11.803,11.312
1985. 06,11.535,11.451
1985. 07,11.643,11.451
1985. 08,11.549,11.71
1985. 09,11.547,11.71
1985. 10,11.819,11.71
1985. 11,11.947,11.71
1985. 12,12.557,12.514
1986. 01,12.301,12.708
1986. 02,11.626,12.782
1986. 03,13.329,13.115
1986. 04,13.854,13.577
1986. 05,14.248,13.78
1986. 06,14.183,14.048
1986. 07,14.265,14.113
1986. 08,14.076,14.445
1986. 09,14.13,14.64
1986. 10,14.805,14.575
1986. 11,14.804,14.713
1986. 12,15.422,15.111
1987. 01,14.085,15.176
1987. 02,14.404,15.305
1987. 03,16.414,15.906
1987. 04,16.682,16.174
1987. 05,17.293,16.774
1987. 06,17.549,17.172
1987. 07,17.312,17.043
1987. 08,14.809,15.176
1987. 09,17.271,16.839
1987. 10,16.921,17.837
1987. 11,18.17,17.976
1987. 12,18.684,18.567
1988. 01,18.179,18.706
1988. 02,17.177,18.835
1988. 03,19.177,18.503
1988. 04,17.958,17.837
1988. 05,18.333,18.105
1988. 06,18.548,18.17
1988. 07,19.178,18.974
1988. 08,19.245,19.501
1988. 09,18.772,19.104
1988. 10,19.785,19.501
1988. 11,19.935,19.436
1988. 12,19.81,19.168
1989. 01,18.481,19.039
1989. 02,16.915,19.039
1989. 03,19.533,18.9
1989. 04,18.291,18.17
1989. 05,19.471,18.974
1989. 06,19.548,19.168
1989. 07,19.812,19.834
1989. 08,20.309,20.638
1989. 09,19.281,20.166
1989. 10,20.026,19.64
1989. 11,20.574,20.102
1989. 12,20.375,20.305
1990. 01,18.512,19.769
1990. 02,19.437,20.231
1990. 03,21.492,20.767
1990. 04,21.012,20.702
1990. 05,20.719,20.37
1990. 06,20.925,20.767
1990. 07,21.087,21.433
1990. 08,21.328,21.969
1990. 09,22.327,21.904
1990. 10,20.815,21.904
1990. 11,22.673,21.969
1990. 12,22.883,22.366
1991. 01,22.251,22.301
1991. 02,19.738,22.366
1991. 03,22.874,22.431
1991. 04,23.336,22.699
1991. 05,23.394,22.569
1991. 06,22.09,22.495
1991. 07,23.133,23.161
1991. 08,23.253,24.03
1991. 09,22.932,23.826
1991. 10,24.909,24.03
1991. 11,24.994,24.168
1991. 12,24.715,24.168
1992. 01,23.912,24.094
1992. 02,22.253,24.695
1992. 03,25.162,24.695
1992. 04,25.504,24.427
1992. 05,24.751,24.233
1992. 06,24.789,24.566
1992. 07,24.959,24.963
1992. 08,23.62,24.76
1992. 09,23.451,24.427
1992. 10,25.41,24.427
1992. 11,24.9,24.501
1992. 12,25.186,24.63
1993. 01,22.621,24.63
1993. 02,23.458,24.362
1993. 03,26.032,25.231
1993. 04,25.884,25.092
1993. 05,25.18,25.028
1993. 06,25.928,25.296
1993. 07,25.562,25.628
1993. 08,24.407,25.231
1993. 09,25.91,26.294
1993. 10,26.438,26.091
1993. 11,27.514,26.627
1993. 12,28.235,27.227
1994. 01,26.927,26.959
1994. 02,23.88,27.024
1994. 03,28.851,27.495
1994. 04,28.191,27.357
1994. 05,28.444,28.226
1994. 06,28.884,28.623
1994. 07,27.467,27.56
1994. 08,27.299,28.29
1994. 09,28.03,29.224
1994. 10,30.401,29.621
1994. 11,31.257,30.222
1994. 12,31.662,30.018
1995. 01,29.196,30.684
1995. 02,28.471,30.499
1995. 03,32.828,31.423
1995. 04,32.133,31.516
1995. 05,32.124,31.054
1995. 06,31.923,32.163
1995. 07,31.51,32.163
1995. 08,30.955,32.348
1995. 09,31.32,32.07
1995. 10,33.484,32.255
1995. 11,33.873,32.44
1995. 12,34.108,33.179
1996. 01,33.216,33.087
1996. 02,30.982,33.826
1996. 03,34.81,33.826
1996. 04,35.54,34.843
1996. 05,36.084,34.935
1996. 06,33.691,33.919
1996. 07,34.517,34.658
1996. 08,33.131,34.473
1996. 09,33.246,34.935
1996. 10,36.209,34.473
1996. 11,36.422,34.935
1996. 12,36.846,35.86
1997. 01,34.037,33.919
1997. 02,31.895,35.397
1997. 03,36.929,35.952
1997. 04,37.844,36.599
1997. 05,36.906,36.322
1997. 06,36.828,37.153
1997. 07,36.206,36.322
1997. 08,35.382,37.431
1997. 09,36.176,37.616
1997. 10,38.745,36.784
1997. 11,37.254,36.322
1997. 12,36.685,35.767
1998. 01,31.412,33.734
