region,sex,age,occu,seniority,5.1,5.2,5.3,engpro,multexp,8,9,10,11,12_rev,13.1,13.2,13.3,14,15,16,17,18,19,20.1,20.2,20.3,21,22,23,24,25,26,27,28_rev,29_rev,30_rev,31,32,33,34,35
4,2,38,2,3,0,0,0,1,1,3,4,3,3,3,0,0,1,3,3,3,3,3,3,0,1,0,3,3,3,4,4,4,3,4,4,4,2,2,3,3,3
4,2,37,2,3,0,0,0,1,2,3,3,3,3,3,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,2,30,2,2,1,0,0,2,1,4,3,2,3,3,0,0,0,3,3,3,3,2,4,0,1,0,3,3,3,4,3,3,3,3,4,2,2,3,3,3,3
4,2,29,6,2,1,0,0,2,2,4,3,3,4,2,0,0,0,1,1,1,1,1,1,0,0,0,4,3,3,4,3,3,4,4,4,2,2,1,1,1,1
4,2,32,2,2,0,0,0,2,3,4,4,4,5,4,0,0,0,2,2,3,3,3,3,1,1,0,4,4,4,4,4,4,5,5,4,5,2,3,4,3,4
4,2,25,2,1,0,0,0,2,2,4,4,2,4,3,1,0,0,3,2,1,2,2,2,0,0,1,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1
4,2,30,2,2,1,0,0,2,3,4,4,4,3,4,0,0,0,2,2,2,2,2,2,0,1,0,4,4,4,4,4,4,3,3,4,2,3,3,3,3,3
4,2,37,2,3,0,0,0,1,3,5,5,3,5,3,0,0,0,2,2,2,2,2,3,1,1,0,4,4,4,4,4,4,4,4,4,2,2,2,3,3,2
4,2,40,3,4,0,0,0,1,1,5,3,3,3,4,0,0,0,2,2,2,2,2,2,0,0,0,4,3,3,4,4,4,4,5,5,5,1,1,1,1,1
4,1,36,3,2,0,0,0,3,4,4,4,4,5,4,0,0,1,2,2,2,2,2,2,1,0,0,3,5,5,5,4,5,4,4,5,3,3,3,4,4,3
4,2,54,6,4,1,0,0,2,1,4,4,3,4,4,0,0,0,1,2,1,1,1,3,1,1,0,4,4,3,3,5,5,3,5,5,5,2,1,1,1,1
4,2,48,3,4,0,0,0,2,2,5,5,2,4,4,0,0,1,3,2,2,3,2,3,1,1,0,2,4,4,5,4,3,4,3,3,1,3,2,3,3,3
